       Steps;     Time/fs;        O;        H;    Empty;      H2s;   O2(3S);  OH(2Pi);      HO2; H2O(1A`);H2O(3A``);       O3;       H3;       H4; H2O2(1A);       O4;      H3O;      HO3;      H2t;   O2(1D); H2O2(3A);    HO(4);
            0;        0.00;        0;       50;        0;      100;      100;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
          365;       18.25;        0;       50;        0;       98;      100;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;
         1643;       82.15;        0;       50;        0;      100;      100;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
         3147;      157.35;        0;       49;        0;       99;      100;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;        0;
         4317;      215.85;        0;       47;        0;       99;      100;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        1;        0;        0;        0;
         4973;      248.65;        0;       48;        0;      100;      100;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;
         4997;      249.85;        0;       50;        0;      100;      100;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
         6387;      319.35;        0;       49;        0;       99;      100;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;        0;
         7296;      364.80;        0;       50;        0;      100;      100;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        10638;      531.90;        0;       50;        0;       98;      100;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        12403;      620.15;        0;       50;        0;      100;      100;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        15364;      768.20;        0;       50;        0;       98;      100;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        15410;      770.50;        0;       50;        0;      100;      100;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        15495;      774.75;        0;       50;        0;       98;      100;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        15595;      779.75;        0;       50;        0;      100;      100;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        15624;      781.20;        0;       50;        0;       98;      100;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        16285;      814.25;        0;       49;        0;       97;      100;        0;        0;        0;        0;        0;        1;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        16319;      815.95;        0;       50;        0;       98;      100;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        16399;      819.95;        0;       49;        0;       97;      100;        0;        0;        0;        0;        0;        1;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        16487;      824.35;        0;       50;        0;       98;      100;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        17612;      880.60;        0;       50;        0;      100;      100;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        17625;      881.25;        0;       50;        0;       98;      100;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        17755;      887.75;        0;       50;        0;      100;      100;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        17799;      889.95;        0;       50;        0;       98;      100;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        17896;      894.80;        0;       50;        0;      100;      100;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        17983;      899.15;        0;       50;        0;       98;      100;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        18026;      901.30;        0;       50;        0;      100;      100;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        20160;     1008.00;        0;       50;        0;       98;      100;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        21069;     1053.45;        0;       49;        0;       97;      100;        0;        0;        0;        0;        0;        1;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        21452;     1072.60;        0;       49;        0;       99;      100;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        22087;     1104.35;        0;       50;        0;      100;      100;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
